RK,NAME,TEAM,SALARY
412,"Xavier Rathan-Mayes, SG",Memphis Grizzlies,"$815,615 "
413,"Dillon Brooks, SF",Memphis Grizzlies,"$815,615 "
414,"Alex Hamilton, SG",Golden State Warriors,"$815,615 "
415,"Sterling Brown, SG",Milwaukee Bucks,"$815,615 "
416,"Alfonzo McKinnie, SF",Toronto Raptors,"$815,615 "
417,"Dwayne Bacon, SF",Charlotte Hornets,"$815,615 "
418,"T.J. Williams, PG",Charlotte Hornets,"$815,615 "
419,"Terry Henderson, SG",Charlotte Hornets,"$815,615 "
420,"Luke Petrasek, SF",Charlotte Hornets,"$815,615 "
421,"Royce O'Neale, SF",Utah Jazz,"$815,615 "
422,"Daniel Theis, PF",Boston Celtics,"$815,615 "
423,"L.J. Peak, SG",Boston Celtics,"$815,615 "
424,"Tyler Dorsey, SG",Atlanta Hawks,"$815,615 "
425,"Jordan Mathews, SG",Atlanta Hawks,"$815,615 "
426,"Trey Burke, PG",New York Knicks,"$784,160 "
427,"Alex Poythress, SF",Indiana Pacers,"$778,668 "
428,"Dwight Buycks, PG",Detroit Pistons,"$748,160 "
429,"Tyler Cavanaugh, F",Atlanta Hawks,"$679,919 "
430,"Emeka Okafor, C",New Orleans Pelicans,"$592,030 "
431,"DeAndre Liggins, SG",Milwaukee Bucks,"$588,120 "
432,"Scott Wood, SG",Golden State Warriors,"$543,471 "
433,"E.J. Singler, SF",Toronto Raptors,"$543,471 "
434,"Drew Crawford, SG",Toronto Raptors,"$543,471 "
435,"Brady Heslip, SG",Toronto Raptors,"$543,471 "
436,"Rasheed Sulaimon, G",Charlotte Hornets,"$543,471 "
437,"Andrew Andrews, G",Charlotte Hornets,"$543,471 "
438,"Ryan Richards, PF",San Antonio Spurs,"$543,471 "
439,"J.P. Tokoto, SG",New York Knicks,"$543,471 "
440,"Maurice Ndour, SF",New York Knicks,"$543,471 "
441,"Isaiah Cousins, PG",Sacramento Kings,"$543,471 "
442,"Jonathan Holmes, PF",Boston Celtics,"$543,471 "
443,"Richard Solomon, PF",Atlanta Hawks,"$543,471 "
444,"Marco Belinelli, SG",Philadelphia 76ers,"$490,461 "
445,"Brandan Wright, F",Memphis Grizzlies,"$490,461 "
446,"Joe Johnson, SG",Utah Jazz,"$473,835 "
447,"Toney Douglas, PG",Memphis Grizzlies,"$379,159 "
448,"C.J. Williams, SF",LA Clippers,"$375,000 "
449,"Derrick Rose, PG",Minnesota Timberwolves,"$290,951 "
450,"Lamar Patterson, SG",Atlanta Hawks,"$246,956 "
451,"Wade Baldwin IV, PG",Portland Trail Blazers,"$229,892 "
452,"Ramon Sessions, PG",Washington Wizards,"$224,448 "
453,"Troy Williams, SF",New York Knicks,"$222,476 "
454,"Larry Sanders, PF",Cleveland Cavaliers,"$207,722 "
455,"Georgios Papagiannis, C",Sacramento Kings,"$185,397 "
456,"Shaquille Harrison, PG",Phoenix Suns,"$175,000 "
457,"Travis Wear, SF",Los Angeles Lakers,"$148,318 "
458,"Antonius Cleveland, SG",Dallas Mavericks,"$133,632 "
459,"Ray McCallum, PG",Charlotte Hornets,"$121,112 "
460,"Manny Harris, PG",Dallas Mavericks,"$115,344 "
461,"Jaylen Morris, G",Atlanta Hawks,"$101,376 "
462,"Tim Quarterman, G",Houston Rockets,"$96,406 "
463,"Aaron Harrison, SG",Dallas Mavericks,"$91,442 "
464,"Brandon Jennings, PG",Milwaukee Bucks,"$83,129 "
465,"Marquis Teague, G",Memphis Grizzlies,"$74,186 "
466,"Rodney Purvis, SG",Orlando Magic,"$69,120 "
467,"Mike Tobey, C",Charlotte Hornets,"$67,135 "
468,"MarShon Brooks, SG",Memphis Grizzlies,"$60,283 "
469,"Jordan Crawford, SG",New Orleans Pelicans,"$58,190 "
470,"Justin Harper, PF",Philadelphia 76ers,"$57,672 "
471,"Alonzo Gee, SF",Denver Nuggets,"$57,672 "
472,"Jarell Eddie, SG",Chicago Bulls,"$57,672 "
473,"Nigel Hayes, SF",Toronto Raptors,"$55,296 "
474,"Damion Lee, SG",Atlanta Hawks,"$46,080 "
475,"David Stockton, PG",Utah Jazz,"$44,495 "
476,"Jonathan Gibson, G",Boston Celtics,"$44,495 "
477,"Okaro White, PF",Miami Heat,"$37,049 "
478,"Pierre Jackson, PG",Dallas Mavericks,"$31,969 "
479,"Lorenzo Brown, PG",Toronto Raptors,"$16,626 "
480,"Quinn Cook, PG",Golden State Warriors,"$14,832 "
